first name,email id,quantity,events,attendee status,college name,how did you come to know about this event?,designation,year of graduation,city,cgpa,experience with python (months),family income,expected salary (lac),leadership- skills,family_income_calculated
aniket,aniket@xyz.com,1,Art of Resume Building,Attending,d y patil institute of mca and management akurdi pune,Email,Students,2024,Patna,6.7,7,7 Lakh+,6,yes,7
dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,ap shah institute of technology ,College,Students,2024,Amravati,8.2,3,0-2 Lakh,7,no,2
dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Email,Students,2023,Kunrool,6.5,4,5-7 Lakh,7,no,7
pooja,pooja@xyz.com,1,Art of Resume Building,Attending,pillai college of engineering new panvel,Email,Students,2025,Tirupati,8.7,7,2-5 Lakh,8,no,5
aayush,aayush@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Instagram,Students,2024,Vijaywada,9.1,3,0-2 Lakh,10,yes,2
mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2026,Eluru,8.9,4,0-2 Lakh,6,no,2
durga,durga@xyz.com,1,Art of Resume Building,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Students,2024,Guwahati,7.4,7,2-5 Lakh,6,no,5
ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2023,Nagaon,7.3,4,0-2 Lakh,7,no,2
mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,College,Students,2024,Tezpur,8.6,4,0-2 Lakh,7,no,2
rohit,rohit@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2024,Sivasagar,9.2,3,0-2 Lakh,8,no,2
nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Email,Students,2024,Burani,7.8,3,0-2 Lakh,10,yes,2
yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2023,Dehri,7.9,5,0-2 Lakh,6,yes,2
pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2023,Chapra,9.9,4,0-2 Lakh,8,no ,2
gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,LinkedIn,Students,2024,Darbhanga,8.1,5,0-2 Lakh,11,no ,2
saba,saba@xyz.com,1,Art of Resume Building,Attending,new horizon institute of technology and management ,Whatsapp,Students,2023,Gaya,9.5,7,0-2 Lakh,20,yes,2
apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2024,Haijipur,9.8,5,0-2 Lakh,5,yes,2
tanmay,tanmay@xyz.com,1,Art of Resume Building,Attending,"mit academy of engineering ,alandi",Cloud Counselage Website,Students,2025,Kaithar,9.6,5,0-2 Lakh,9,no,2
sumit,sumit@xyz.com,1,Art of Resume Building,Attending,a. c. patil college of engineering,Whatsapp,Students,2025,Motihari,6.2,5,0-2 Lakh,5,no,2
shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,wilson college ,College,Students,2024,Munger,9.1,7,0-2 Lakh,21,yes,2
shreyas,shreyas@xyz.com,1,Art of Resume Building,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Patna,7.2,5,0-2 Lakh,9,no,2
shivani,shivani@xyz.com,1,Art of Resume Building,Attending,dkte society's textile and engineering institute ichalkaranji,College,Students,2023,Muzaffarpur,9.5,5,0-2 Lakh,13,no,2
swapnil,swapnil@xyz.com,1,Art of Resume Building,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,Students,2025,Sasaram,6.8,3,0-2 Lakh,15,no,2
manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Instagram,Students,2023,Siwan,8.4,7,0-2 Lakh,14,no,2
hemant ,hemant@xyz.com,1,Art of Resume Building,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2025,Ambikapur,6.6,3,2-5 Lakh,5,yes,5
gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,Students,2024,Bhilai,6.7,7,2-5 Lakh,20,yes,5
harshal,harshal@xyz.com,1,Art of Resume Building,Attending,adhiyamaan college of engineering,Whatsapp,Students,2025,Raipur,8.3,7,2-5 Lakh,14,no ,5
jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,don bosco college of engineering fatorda goa,Youtube,Students,2024,Daman,6.3,7,2-5 Lakh,16,yes,5
ashish,ashish@xyz.com,1,Art of Resume Building,Attending,st xavier's college ,Whatsapp,Students,2024,Silvassa,9.5,5,2-5 Lakh,8,no,5
pooja ,pooja@xyz.com,1,Art of Resume Building,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Students,2026,New Delhi,8.5,3,2-5 Lakh,7,no,5
shubham,shubham@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2023,Panji,8.8,4,2-5 Lakh,8,yes,5
prachi,prachi@xyz.com,1,Art of Resume Building,Attending,government polytechnic gandhinagar,Whatsapp,Students,2025,Madgaon,7.9,7,0-2 Lakh,6,no,2
priya,priya@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Instagram,Students,2024,Ahemdabad,7.5,4,0-2 Lakh,8,no,2
ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Youtube,Students,2023,Amreli,8.3,5,2-5 Lakh,21,no,5
chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2024,Dwarka,6.4,3,5-7 Lakh,5,no,7
aakanksha ,aakanksha@xyz.com,1,Art of Resume Building,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2025,Godhra,7.5,4,7 Lakh+,21,no,7
aishwarya,aishwarya@xyz.com,1,Art of Resume Building,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2025,Junagadh,9.9,3,0-2 Lakh,9,yes,2
punam,punam@xyz.com,1,Art of Resume Building,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2026,Kheda,7.6,4,0-2 Lakh,7,no ,2
kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Facebook,Students,2024,Morbi,7.9,7,0-2 Lakh,5,no ,2
laxmikant,laxmikant@xyz.com,1,Art of Resume Building,Attending,st.francis institute of technology,Whatsapp,Students,2025,Navsari,7.4,7,5-7 Lakh,19,yes,7
ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2026,Rewari,6.5,4,2-5 Lakh,23,yes,5
harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"priyadarshini college of engineering, nagpur ",Friends,Students,2023,Rohtak,7.3,3,5-7 Lakh,8,yes,7
